Hour_number,Date,Delivered_Energy_WH,Delivered_Energy_SH,Net_Demand,Total_Demand
242,2015-01-11,118.69433407349887,1920.914753198148,4271.238906877758,6310.847994149405
243,2015-01-11,110.73066678377212,1953.8374545102372,4235.3340886689775,6299.902209962987
244,2015-01-11,127.03541337879895,2017.9046890110842,4195.94271277961,6340.8828151694925
245,2015-01-11,162.38643489199262,2259.5325043980315,4064.262794979731,6486.181734269756
246,2015-01-11,299.6229159637446,3114.1578517370644,3262.5992049378992,6676.379972638708
247,2015-01-11,424.71047580833687,3083.034291745963,3572.7230289895174,7080.467796543817
248,2015-01-11,488.0054646130287,2803.2307596403007,4248.743343454281,7539.979567707611
249,2015-01-11,488.51784181399324,2667.5323737227236,4681.842341803527,7837.892557340244
250,2015-01-11,460.80534150194654,2592.850606078639,4996.022664663752,8049.678612244337
251,2015-01-11,381.36059626390374,2482.768688988997,5278.502372705674,8142.631657958575
252,2015-01-11,334.97262974835894,2440.9479069639015,5367.806668172756,8143.727204885016
253,2015-01-11,310.3457996933442,2397.4277535500014,5367.991522280855,8075.765075524201
254,2015-01-11,299.10255452358285,2333.230204587826,5419.987452745822,8052.320211857232
255,2015-01-11,306.1872143922042,2368.339009029442,5489.403186451318,8163.929409872964
256,2015-01-11,296.57089461504466,2506.784978958841,5796.28569572025,8599.641569294135
257,2015-01-11,319.9208712897612,2582.909556895778,6025.358234574844,8928.188662760384
258,2015-01-11,335.0499625931171,2675.7243132886697,5726.819478433225,8737.593754315012
259,2015-01-11,335.43595705150284,2588.5098128359796,5547.656110483166,8471.601880370648
260,2015-01-11,305.9923247790914,2594.435592498167,5346.656222336112,8247.08413961337
261,2015-01-11,244.87209201988034,2204.428168131735,5439.438204243141,7888.738464394756
262,2015-01-11,201.09178501183032,1950.2414983804692,5244.536820164953,7395.870103557252
263,2015-01-11,181.65278599255885,1858.2898617522833,4865.757960411853,6905.700608156695
264,2015-01-12,187.59423705490727,1766.3600181930974,4630.839011185227,6584.793266433231
265,2015-01-12,134.6122360150755,1784.137382925789,4466.016388793449,6384.7660077343135
266,2015-01-12,118.89823069393991,1754.9324782097326,4443.531214295395,6317.361923199068
267,2015-01-12,110.63019259682811,1780.8357624431933,4437.135171882975,6328.601126922996
268,2015-01-12,127.08890162040906,1902.4110150732367,4376.897672687876,6406.397589381522
269,2015-01-12,162.57302802315772,2065.5664492797114,4459.956871025065,6688.096348327934
270,2015-01-12,299.29763623330194,2968.5506806807016,4136.891515574164,7404.739832488168
271,2015-01-12,424.78259228833383,2961.23592997146,4860.043395484263,8246.061917744057
272,2015-01-12,488.0661134448063,2607.283304217033,5400.928566002516,8496.277983664357
273,2015-01-12,488.37945003205573,2417.0443822193524,5608.20852113034,8513.632353381749
274,2015-01-12,461.04043313872916,2335.5872677853117,5670.509837197247,8467.137538121287
275,2015-01-12,381.24602192052834,2194.143284202988,5831.584285882608,8406.973592006125
276,2015-01-12,335.05547327914496,2143.4088454983594,5821.121956990776,8299.58627576828
277,2015-01-12,310.26665484409966,2125.107418712725,5798.90591911097,8234.279992667794
278,2015-01-12,299.08932455974434,2117.4736942672994,5795.205853168401,8211.768871995444
279,2015-01-12,306.08327113396786,2093.3386943029705,5882.475579159948,8281.897544596886
280,2015-01-12,296.67775052626047,2299.133475030979,6095.375749477781,8691.18697503502
281,2015-01-12,320.21307262476864,2360.187112670508,6449.093687410566,9129.493872705843
282,2015-01-12,334.6602519354565,2299.86066694201,6367.777746350871,9002.298665228338
283,2015-01-12,335.5455782069968,2362.328409835626,6047.187940868087,8745.061928910709
284,2015-01-12,305.9620928133102,2360.8116537694577,5817.100862332742,8483.87460891551
285,2015-01-12,244.80007561885202,1936.8073678665335,5966.594954289938,8148.202397775323
286,2015-01-12,201.28854452746415,1752.3906670317951,5676.734289606595,7630.4135011658545
287,2015-01-12,181.4847880374717,1637.6010071773408,5383.5113650646645,7202.597160279477
288,2015-01-13,159.64490453364886,1555.3666773969614,5047.853753152646,6762.8653350832565
289,2015-01-13,120.46720345267086,1569.9095560687902,4869.462426585546,6559.839186107008
290,2015-01-13,111.91751857823,1560.0425149746327,4788.245812075579,6460.205845628442
291,2015-01-13,120.32098165302128,1591.7494430486818,4779.113719235302,6491.184143937005
292,2015-01-13,173.92114615704634,1643.0893630829971,4785.26481836644,6602.275327606483
293,2015-01-13,326.97344920219246,1783.4729017039172,4751.890271146049,6862.336622052158
294,2015-01-13,533.8315064550035,2617.879622131421,4381.375362092395,7533.086490678819
295,2015-01-13,554.3335920664241,2575.9164859093,5224.363058518515,8354.613136494238
296,2015-01-13,422.41890659772037,2285.3721292994815,5830.26897168887,8538.060007586071
297,2015-01-13,353.4961874394238,2097.004030417739,6042.975750988381,8493.475968845545
298,2015-01-13,288.0602370184374,2053.3532773206643,6136.896713042893,8478.310227381995
299,2015-01-13,252.72983111734192,1935.0790227229281,6213.3392121935585,8401.148066033827
300,2015-01-13,234.57257878738855,1842.6905906382947,6221.00471472737,8298.267884153054
301,2015-01-13,224.5941635945404,1845.9581860969186,6119.955291246223,8190.507640937682
302,2015-01-13,215.75673552916726,1792.8340504661198,6116.223301335788,8124.814087331075
303,2015-01-13,236.3619187755951,1852.9257256662913,6117.2861532886855,8206.573797730573
304,2015-01-13,267.1481731128681,1973.209520453811,6368.025058996061,8608.382752562738
305,2015-01-13,299.38258340492087,2221.527344801627,6603.649900983992,9124.559829190539
306,2015-01-13,334.5203632844453,2304.20646774842,6364.432421392394,9003.15925242526
307,2015-01-13,328.75870057287057,2449.1595831903965,6002.403131130505,8780.321414893773
308,2015-01-13,302.2661821449374,2431.1369256960506,5834.498817859766,8567.901925700753
309,2015-01-13,243.7577229726278,2070.738815225358,5905.933556563889,8220.430094761876
310,2015-01-13,190.6193977010181,1764.1690192058954,5817.357256527886,7772.145673434799
311,2015-01-13,172.26227586547813,1665.5609299432458,5416.7975944770105,7254.620800285735
312,2015-01-14,159.55370119698065,1619.1538913623435,5121.18592808301,6899.893520642335
313,2015-01-14,120.22243205261863,1625.9847054828779,4994.105912858794,6740.31305039429
314,2015-01-14,112.09068293403021,1622.831985464735,4925.8511283050875,6660.773796703853
315,2015-01-14,120.31247833030747,1701.8695426543065,4833.7107570085145,6655.892777993128
316,2015-01-14,173.83702632630656,1729.8906813397568,4883.128579927869,6786.856287593933
317,2015-01-14,326.4524276466202,1809.1906258107922,4986.80227799264,7122.4453314500515
318,2015-01-14,532.1321987905321,2167.5480382203505,5159.616816714262,7859.297053725145
319,2015-01-14,552.199073546623,2299.2577889419877,5820.450637012812,8671.907499501423
320,2015-01-14,422.66754957942123,2307.34548517032,6066.7399893067395,8796.753024056481
321,2015-01-14,353.2171218500896,2151.920935968872,6259.027331769671,8764.165389588634
322,2015-01-14,287.5672449222686,1979.758522386093,6427.567691886047,8694.893459194409
323,2015-01-14,251.65536209018236,1842.9831679707663,6455.8841242569715,8550.52265431792
324,2015-01-14,232.86720914799213,1747.1720017072107,6451.08181087206,8431.121021727262
325,2015-01-14,223.05887299083867,1660.265640231836,6435.126798625969,8318.451311848643
326,2015-01-14,214.4357534427601,1667.739662731699,6355.890978650689,8238.066394825148
327,2015-01-14,234.88334385432907,1683.7881033683432,6353.4506432019225,8272.122090424595
328,2015-01-14,266.3620599302398,1906.6156499254075,6478.571193409665,8651.548903265313
329,2015-01-14,298.4282608512575,2225.291688553805,6686.682357748925,9210.402307153989
330,2015-01-14,331.6268286219962,2089.9748751342745,6693.892024428946,9115.493728185216
331,2015-01-14,328.45733864707694,2002.2237607588127,6605.345508959344,8936.026608365235
